count_id,volume
14571,102
14576,51
14597,273
14704,318
14709,86
14711,398
14720,110
14750,57
14751,57
14767,11
14772,759
14776,60
14782,152
14799,1501
14818,286
14819,307
14867,5
14868,6
14879,783
14886,213
14890,364
14895,238
14896,254
14897,218
14927,678
14928,671
14975,912
14985,157
15018,9
15098,448
15099,449
15143,2263
15174,57
15186,17
15188,86
15190,125
15191,142
15205,1366
15211,3339
15227,268
15228,268
15237,578
15239,29
15242,44
15244,259
15280,1289
15300,209
15321,73
15335,502
15337,750
15345,119
15393,263
15403,123
15406,95
15407,95
15408,73
15447,1685
15449,594
15452,55
15453,103
15463,1172
15477,46
15489,267
15490,55
15491,128
15497,13
15508,157
15513,78
15514,94
15520,22
15553,173
15573,50
15605,255
15607,116
15610,56
15611,49
15629,77
15630,50
15640,116
15645,189
15682,33
15702,0
15706,167
15707,219
15708,172
15730,278
15751,646
15785,392
15788,0
15811,98
15814,125
15847,106
15860,68
15880,1579
15881,1370
15889,1292
15903,1246
15904,280
15905,280
15953,345
15973,240
15990,184
16010,295
16043,822
16044,406
16064,256
16069,440
16091,77
16114,76
16128,930
16136,94
16139,93
16148,629
16149,441
16150,827
16152,7
16169,1505
16176,205
16177,196
16190,247
16219,283
16247,1767
16256,114
16261,270
16270,215
16279,252
16303,55
16307,617
16308,617
16309,617
16310,273
16311,0
16312,77
16317,5
16334,199
16352,256
16369,10
16395,217
16415,1168
16447,135
16448,209
16467,161
16472,248
16513,102
16518,17
16521,30
16523,1274
16524,781
16532,435
16554,2360
16556,1011
16583,15
16592,340
16639,137
16640,201
16641,135
16656,18
16663,174
16667,71
16669,1682
16685,1040
16693,229
16694,945
16699,912
16702,476
16706,356
16709,1266
16722,399
16725,942
16747,761
16769,567
16791,383
16793,111
16797,69
16798,149
16810,127
16814,47
16824,110
16826,195
16848,330
16878,55
16887,158
16908,34
16913,535
16917,66
16924,2376
16925,3101
16950,53
16954,0
16956,122
16964,872
16974,269
16986,915
16992,612
17002,449
17031,79
17034,28
17036,324
17048,359
17065,113
17079,0
17080,0
17081,892
17086,549
17087,1119
17088,529
17096,949
17097,139
17098,95
17099,81
17117,81
17118,87
17129,363
17133,249
17142,237
17169,95
17190,436
17207,453
17212,142
17213,96
17219,339
17220,372
17229,243
17243,161
17244,114
17249,126
17254,1009
17256,66
17257,43
17263,100
17264,63
17270,168
17273,112
17275,96
17289,258
17293,597
17300,341
17304,74
17308,263
17311,107
17312,123
17313,1771
17314,1771
17316,1252
17318,1091
17319,1091
17323,162
17371,313
17380,301
17384,864
17385,209
17406,1814
17419,43
17447,555
17448,291
17457,41
17460,0
17461,0
17483,55
17493,440
17508,945
17511,47
17518,8
17521,6
17532,79
17534,27
17538,98
17553,157
17554,174
17566,280
17569,280
17578,0
17579,0
17584,0
17585,0
17586,0
17587,0
17588,560
17589,420
17599,0
17600,0
17601,0
17602,0
17603,560
17608,560
17648,677
17667,1161
17679,347
17696,216
17700,471
17707,364
17709,595
17725,23
17726,84
17727,84
17740,1132
17758,148
17765,286
17766,225
17771,318
17774,191
17775,69
17790,16
17803,1385
17808,504
17821,317
17822,325
17823,493
17839,543
17840,889
17853,202
17857,140
17868,112
17869,159
17872,622
17883,18
17887,83
17889,132
17890,197
17891,107
17936,478
17946,104
17947,255
17961,259
17962,259
17992,190
17993,309
17994,445
17997,839
18002,60
18010,38
18011,72
18012,42
18046,634
18071,21
18087,254
18119,132
18121,298
18133,97
18136,526
18139,252
18145,309
18157,283
18162,232
18164,906
18170,149
18184,100
18211,65
18249,293
18250,597
18252,214
18253,238
18254,201
18255,164
18313,8
18318,4
18319,31
18342,44
18380,132
18394,417
18400,75
18408,94
18413,217
18423,271
18424,322
18439,173
18440,239
18466,13
18469,592
18490,533
18497,200
18527,34
18536,245
18539,259
18545,439
18549,151
18550,13
18551,885
18553,136
18556,136
18557,119
18560,41
18561,280
18562,73
18565,396
18566,396
18567,11
18569,268
18571,79
18573,95
18594,105
18595,183
18621,35
18625,0
18636,257
18639,332
18640,363
18653,297
18667,776
18678,163
18679,303
18680,460
18681,159
18682,64
18694,46
18695,1064
18696,51
18697,1452
18723,365
18726,29
18731,1276
18732,97
18733,1469
18738,1906
18739,1377
18756,404
18765,45
18766,63
18773,1209
18784,371
18787,309
18816,11
18817,22
18818,1765
18850,71
18851,0
18864,482
18893,116
18894,20
18908,573
18935,1237
18936,789
18938,338
18951,379
18952,291
18980,14
19005,163
19020,0
19040,56
19044,556
19045,604
19117,248
19118,160
19120,191
19124,73
19127,294
19132,477
19133,260
19134,228
19141,551
19142,413
19143,232
19144,1714
19154,68
19161,35
19162,103
19163,40
19172,244
19173,116
19174,97
19177,55
19178,461
19183,154
19184,85
19185,150
19186,48
19191,325
19192,89
19194,71
19195,424
19212,147
19213,89
19217,271
19220,50
19224,188
19225,110
19235,63
19239,166
19243,27
19343,341
19348,0
19349,84
19350,271
19351,326
19360,154
19361,124
19371,110
19372,61
19375,223
19378,67
19382,198
19383,251
19388,82
19396,493
19410,207
19414,4
19420,189
19421,43
19432,27
19440,71
19481,142
19494,99
19508,96
19512,2173
19518,690
19519,54
19520,55
19530,254
19565,318
19572,189
19577,146
19578,97
19587,164
19590,3287
19612,192
19623,4839
