,approach,type,volume
647,EB,bus,0
648,SB,dual,0
649,SB,bike,0
650,SB,bus,0
651,NB,dual,0
652,NB,bike,0
653,NB,bus,2
654,WB,dual,0
655,WB,bike,0
656,WB,bus,0
657,EB,dual,0
658,EB,bike,0
659,EB,bus,0
660,SB,dual,22
661,SB,bike,13
662,SB,bus,0
663,NB,dual,27
664,NB,bike,0
665,NB,bus,0
666,WB,dual,188
667,WB,bike,18
668,WB,bus,58
669,EB,dual,178
670,EB,bike,5
671,EB,bus,57
672,SB,dual,7
673,SB,bike,3
674,SB,bus,0
675,NB,dual,13
676,NB,bike,3
677,NB,bus,0
678,WB,dual,1
679,WB,bike,3
680,WB,bus,0
681,EB,dual,7
682,EB,bike,9
683,EB,bus,0
684,SB,dual,3
685,SB,bike,0
686,SB,bus,0
687,NB,dual,26
688,NB,bike,0
689,NB,bus,0
690,WB,dual,16
691,WB,bike,1
692,WB,bus,0
693,EB,dual,28
694,EB,bike,1
695,EB,bus,0
696,SB,dual,30
697,SB,bike,8
698,SB,bus,0
699,NB,dual,35
700,NB,bike,14
701,NB,bus,0
702,WB,dual,78
703,WB,bike,23
704,WB,bus,29
705,EB,dual,54
706,EB,bike,25
707,EB,bus,24
708,SB,dual,73
709,SB,bike,0
710,SB,bus,0
711,NB,dual,0
712,NB,bike,0
713,NB,bus,0
714,WB,dual,128
715,WB,bike,11
716,WB,bus,5
717,EB,dual,47
718,EB,bike,6
719,EB,bus,12
720,SB,dual,206
721,SB,bike,43
722,SB,bus,27
723,NB,dual,376
724,NB,bike,21
725,NB,bus,274
726,WB,dual,256
727,WB,bike,0
728,WB,bus,222
729,EB,dual,0
730,EB,bike,0
731,EB,bus,0
732,SB,dual,87
733,SB,bike,37
734,SB,bus,72
735,NB,dual,101
736,NB,bike,7
737,NB,bus,55
738,WB,dual,54
739,WB,bike,19
740,WB,bus,19
741,EB,dual,69
742,EB,bike,25
743,EB,bus,19
744,SB,dual,41
745,SB,bike,39
746,SB,bus,40
747,NB,dual,39
748,NB,bike,16
749,NB,bus,69
750,WB,dual,4
751,WB,bike,37
752,WB,bus,1
753,EB,dual,4
754,EB,bike,50
755,EB,bus,1
756,SB,dual,42
757,SB,bike,31
758,SB,bus,56
759,NB,dual,34
760,NB,bike,46
761,NB,bus,76
762,WB,dual,8
763,WB,bike,16
764,WB,bus,15
765,EB,dual,0
766,EB,bike,0
767,EB,bus,0
768,SB,dual,25
769,SB,bike,29
770,SB,bus,2
771,NB,dual,26
772,NB,bike,18
773,NB,bus,5
774,WB,dual,59
775,WB,bike,28
776,WB,bus,103
777,EB,dual,51
778,EB,bike,26
779,EB,bus,77
780,SB,dual,29
781,SB,bike,55
782,SB,bus,12
783,NB,dual,21
784,NB,bike,66
785,NB,bus,8
786,WB,dual,1
787,WB,bike,14
788,WB,bus,1
789,EB,dual,8
790,EB,bike,22
791,EB,bus,12
792,SB,dual,45
793,SB,bike,25
794,SB,bus,46
795,NB,dual,77
796,NB,bike,31
797,NB,bus,68
798,WB,dual,53
799,WB,bike,34
800,WB,bus,41
801,EB,dual,48
802,EB,bike,30
803,EB,bus,27
804,SB,dual,92
805,SB,bike,24
806,SB,bus,48
807,NB,dual,77
808,NB,bike,25
809,NB,bus,46
810,WB,dual,10
811,WB,bike,3
812,WB,bus,3
813,EB,dual,23
814,EB,bike,5
815,EB,bus,8
816,SB,dual,38
817,SB,bike,67
818,SB,bus,117
819,NB,dual,83
820,NB,bike,103
821,NB,bus,244
822,WB,dual,35
823,WB,bike,48
824,WB,bus,67
825,EB,dual,39
826,EB,bike,50
827,EB,bus,85
828,SB,dual,36
829,SB,bike,51
830,SB,bus,114
831,NB,dual,84
832,NB,bike,75
833,NB,bus,260
834,WB,dual,77
835,WB,bike,35
836,WB,bus,72
837,EB,dual,47
838,EB,bike,63
839,EB,bus,98
840,SB,dual,58
841,SB,bike,44
842,SB,bus,124
843,NB,dual,0
844,NB,bike,34
845,NB,bus,0
846,WB,dual,43
847,WB,bike,86
848,WB,bus,48
849,EB,dual,57
850,EB,bike,78
851,EB,bus,60
852,SB,dual,74
853,SB,bike,45
854,SB,bus,373
855,NB,dual,0
856,NB,bike,33
857,NB,bus,0
858,WB,dual,18
859,WB,bike,31
860,WB,bus,70
861,EB,dual,31
862,EB,bike,54
863,EB,bus,85
864,SB,dual,179
865,SB,bike,9
866,SB,bus,39
867,NB,dual,223
868,NB,bike,12
869,NB,bus,46
870,WB,dual,21
871,WB,bike,6
872,WB,bus,9
873,EB,dual,0
874,EB,bike,0
875,EB,bus,0
876,SB,dual,2
877,SB,bike,1
878,SB,bus,0
879,NB,dual,11
880,NB,bike,2
881,NB,bus,7
882,WB,dual,21
883,WB,bike,5
884,WB,bus,1
885,EB,dual,18
886,EB,bike,8
887,EB,bus,10
888,SB,dual,126
889,SB,bike,29
890,SB,bus,32
891,NB,dual,108
892,NB,bike,12
893,NB,bus,5
894,WB,dual,109
895,WB,bike,72
896,WB,bus,135
897,EB,dual,87
898,EB,bike,52
899,EB,bus,118
900,SB,dual,52
901,SB,bike,48
902,SB,bus,65
903,NB,dual,54
904,NB,bike,55
905,NB,bus,93
906,WB,dual,65
907,WB,bike,90
908,WB,bus,61
909,EB,dual,69
910,EB,bike,59
911,EB,bus,83
912,SB,dual,16
913,SB,bike,9
914,SB,bus,53
915,NB,dual,21
916,NB,bike,8
917,NB,bus,54
918,WB,dual,15
919,WB,bike,10
920,WB,bus,45
921,EB,dual,31
922,EB,bike,7
923,EB,bus,34
924,SB,dual,16
925,SB,bike,1
926,SB,bus,5
927,NB,dual,28
928,NB,bike,1
929,NB,bus,9
930,WB,dual,13
931,WB,bike,22
932,WB,bus,46
933,EB,dual,30
934,EB,bike,17
935,EB,bus,51
936,SB,dual,71
937,SB,bike,15
938,SB,bus,47
939,NB,dual,90
940,NB,bike,8
941,NB,bus,24
942,WB,dual,41
943,WB,bike,18
944,WB,bus,52
945,EB,dual,57
946,EB,bike,7
947,EB,bus,46
948,SB,dual,0
949,SB,bike,0
950,SB,bus,0
951,NB,dual,69
952,NB,bike,0
953,NB,bus,20
954,WB,dual,137
955,WB,bike,13
956,WB,bus,44
957,EB,dual,192
958,EB,bike,7
959,EB,bus,48
960,SB,dual,113
961,SB,bike,16
962,SB,bus,20
963,NB,dual,54
964,NB,bike,11
965,NB,bus,21
966,WB,dual,47
967,WB,bike,6
968,WB,bus,5
969,EB,dual,42
970,EB,bike,4
971,EB,bus,7
972,SB,dual,29
973,SB,bike,4
974,SB,bus,3
975,NB,dual,22
976,NB,bike,4
977,NB,bus,14
978,WB,dual,65
979,WB,bike,4
980,WB,bus,14
981,EB,dual,55
982,EB,bike,4
983,EB,bus,25
984,SB,dual,119
985,SB,bike,30
986,SB,bus,30
987,NB,dual,109
988,NB,bike,30
989,NB,bus,33
990,WB,dual,78
991,WB,bike,11
992,WB,bus,23
993,EB,dual,110
994,EB,bike,23
995,EB,bus,35
996,SB,dual,34
997,SB,bike,0
998,SB,bus,10
999,NB,dual,0
1000,NB,bike,0
1001,NB,bus,0
1002,WB,dual,48
1003,WB,bike,3
1004,WB,bus,12
1005,EB,dual,65
1006,EB,bike,3
1007,EB,bus,17
1008,SB,dual,111
1009,SB,bike,19
1010,SB,bus,12
1011,NB,dual,66
1012,NB,bike,11
1013,NB,bus,20
1014,WB,dual,50
1015,WB,bike,5
1016,WB,bus,14
1017,EB,dual,47
1018,EB,bike,7
1019,EB,bus,13
1020,SB,dual,17
1021,SB,bike,0
1022,SB,bus,3
1023,NB,dual,0
1024,NB,bike,0
1025,NB,bus,0
1026,WB,dual,17
1027,WB,bike,3
1028,WB,bus,40
1029,EB,dual,10
1030,EB,bike,13
1031,EB,bus,51
1032,SB,dual,23
1033,SB,bike,65
1034,SB,bus,95
1035,NB,dual,22
1036,NB,bike,82
1037,NB,bus,35
1038,WB,dual,7
1039,WB,bike,38
1040,WB,bus,61
1041,EB,dual,14
1042,EB,bike,76
1043,EB,bus,22
1044,SB,dual,183
1045,SB,bike,0
1046,SB,bus,16
1047,NB,dual,166
1048,NB,bike,3
1049,NB,bus,74
1050,WB,dual,0
1051,WB,bike,0
1052,WB,bus,0
1053,EB,dual,10
1054,EB,bike,4
1055,EB,bus,0
1056,SB,dual,107
1057,SB,bike,12
1058,SB,bus,58
1059,NB,dual,53
1060,NB,bike,7
1061,NB,bus,42
1062,WB,dual,0
1063,WB,bike,0
1064,WB,bus,0
1065,EB,dual,3
1066,EB,bike,0
1067,EB,bus,0
1068,SB,dual,0
1069,SB,bike,0
1070,SB,bus,0
1071,NB,dual,3
1072,NB,bike,4
1073,NB,bus,0
1074,WB,dual,35
1075,WB,bike,7
1076,WB,bus,12
1077,EB,dual,19
1078,EB,bike,4
1079,EB,bus,10
1080,SB,dual,1
1081,SB,bike,0
1082,SB,bus,0
1083,NB,dual,15
1084,NB,bike,0
1085,NB,bus,0
1086,WB,dual,31
1087,WB,bike,3
1088,WB,bus,0
1089,EB,dual,8
1090,EB,bike,2
1091,EB,bus,0
1092,SB,dual,18
1093,SB,bike,0
1094,SB,bus,0
1095,NB,dual,16
1096,NB,bike,0
1097,NB,bus,0
1098,WB,dual,0
1099,WB,bike,0
1100,WB,bus,0
1101,EB,dual,3
1102,EB,bike,0
1103,EB,bus,0
1104,SB,dual,7
1105,SB,bike,2
1106,SB,bus,0
1107,NB,dual,0
1108,NB,bike,0
1109,NB,bus,0
1110,WB,dual,33
1111,WB,bike,3
1112,WB,bus,0
1113,EB,dual,34
1114,EB,bike,3
1115,EB,bus,0
1116,SB,dual,6
1117,SB,bike,2
1118,SB,bus,0
1119,NB,dual,13
1120,NB,bike,0
1121,NB,bus,0
1122,WB,dual,3
1123,WB,bike,0
1124,WB,bus,0
1125,EB,dual,0
1126,EB,bike,0
1127,EB,bus,0
1128,SB,dual,0
1129,SB,bike,0
1130,SB,bus,0
1131,NB,dual,4
1132,NB,bike,0
1133,NB,bus,0
1134,WB,dual,20
1135,WB,bike,3
1136,WB,bus,0
1137,EB,dual,14
1138,EB,bike,3
1139,EB,bus,0
1140,SB,dual,22
1141,SB,bike,0
1142,SB,bus,0
1143,NB,dual,9
1144,NB,bike,2
1145,NB,bus,0
1146,WB,dual,20
1147,WB,bike,3
1148,WB,bus,0
1149,EB,dual,12
1150,EB,bike,3
1151,EB,bus,0
1152,SB,dual,0
1153,SB,bike,0
1154,SB,bus,0
1155,NB,dual,0
1156,NB,bike,3
1157,NB,bus,0
1158,WB,dual,4
1159,WB,bike,1
1160,WB,bus,1
1161,EB,dual,6
1162,EB,bike,0
1163,EB,bus,1
1164,SB,dual,71
1165,SB,bike,3
1166,SB,bus,20
1167,NB,dual,85
1168,NB,bike,9
1169,NB,bus,22
1170,WB,dual,22
1171,WB,bike,0
1172,WB,bus,0
1173,EB,dual,14
1174,EB,bike,2
1175,EB,bus,0
1176,SB,dual,63
1177,SB,bike,4
1178,SB,bus,20
1179,NB,dual,82
1180,NB,bike,10
1181,NB,bus,22
1182,WB,dual,8
1183,WB,bike,4
1184,WB,bus,0
1185,EB,dual,5
1186,EB,bike,0
1187,EB,bus,0
1188,SB,dual,2
1189,SB,bike,0
1190,SB,bus,0
1191,NB,dual,1
1192,NB,bike,0
1193,NB,bus,0
1194,WB,dual,0
1195,WB,bike,1
1196,WB,bus,0
1197,EB,dual,5
1198,EB,bike,3
1199,EB,bus,0
1200,SB,dual,65
1201,SB,bike,11
1202,SB,bus,19
1203,NB,dual,24
1204,NB,bike,3
1205,NB,bus,0
1206,WB,dual,8
1207,WB,bike,3
1208,WB,bus,0
1209,EB,dual,66
1210,EB,bike,11
1211,EB,bus,23
1212,SB,dual,11
1213,SB,bike,10
1214,SB,bus,0
1215,NB,dual,14
1216,NB,bike,9
1217,NB,bus,0
1218,WB,dual,4
1219,WB,bike,2
1220,WB,bus,0
1221,EB,dual,8
1222,EB,bike,0
1223,EB,bus,0
1224,SB,dual,13
1225,SB,bike,10
1226,SB,bus,0
1227,NB,dual,11
1228,NB,bike,9
1229,NB,bus,0
1230,WB,dual,2
1231,WB,bike,4
1232,WB,bus,0
1233,EB,dual,5
1234,EB,bike,5
1235,EB,bus,0
1236,SB,dual,27
1237,SB,bike,18
1238,SB,bus,27
1239,NB,dual,37
1240,NB,bike,12
1241,NB,bus,31
1242,WB,dual,0
1243,WB,bike,1
1244,WB,bus,0
1245,EB,dual,3
1246,EB,bike,13
1247,EB,bus,0
1248,SB,dual,21
1249,SB,bike,11
1250,SB,bus,1
1251,NB,dual,21
1252,NB,bike,16
1253,NB,bus,2
1254,WB,dual,104
1255,WB,bike,103
1256,WB,bus,79
1257,EB,dual,101
1258,EB,bike,124
1259,EB,bus,80
1260,SB,dual,144
1261,SB,bike,106
1262,SB,bus,121
1263,NB,dual,64
1264,NB,bike,83
1265,NB,bus,74
1266,WB,dual,189
1267,WB,bike,8
1268,WB,bus,13
1269,EB,dual,33
1270,EB,bike,10
1271,EB,bus,42
1272,SB,dual,26
1273,SB,bike,11
1274,SB,bus,29
1275,NB,dual,19
1276,NB,bike,11
1277,NB,bus,47
1278,WB,dual,0
1279,WB,bike,0
1280,WB,bus,0
1281,EB,dual,0
1282,EB,bike,2
1283,EB,bus,0
1284,SB,dual,58
1285,SB,bike,45
1286,SB,bus,107
1287,NB,dual,67
1288,NB,bike,43
1289,NB,bus,102
1290,WB,dual,88
1291,WB,bike,17
1292,WB,bus,29
1293,EB,dual,89
1294,EB,bike,10
1295,EB,bus,25
1296,SB,dual,91
1297,SB,bike,20
1298,SB,bus,6
1299,NB,dual,75
1300,NB,bike,24
1301,NB,bus,6
1302,WB,dual,124
1303,WB,bike,16
1304,WB,bus,20
1305,EB,dual,165
1306,EB,bike,15
1307,EB,bus,19
1308,SB,dual,18
1309,SB,bike,15
1310,SB,bus,11
1311,NB,dual,21
1312,NB,bike,14
1313,NB,bus,0
1314,WB,dual,93
1315,WB,bike,35
1316,WB,bus,42
1317,EB,dual,69
1318,EB,bike,21
1319,EB,bus,32
1320,SB,dual,72
1321,SB,bike,12
1322,SB,bus,12
1323,NB,dual,103
1324,NB,bike,4
1325,NB,bus,4
1326,WB,dual,64
1327,WB,bike,2
1328,WB,bus,8
1329,EB,dual,11
1330,EB,bike,0
1331,EB,bus,0
1332,SB,dual,87
1333,SB,bike,9
1334,SB,bus,62
1335,NB,dual,87
1336,NB,bike,4
1337,NB,bus,69
1338,WB,dual,2
1339,WB,bike,2
1340,WB,bus,0
1341,EB,dual,19
1342,EB,bike,0
1343,EB,bus,0
1344,SB,dual,56
1345,SB,bike,11
1346,SB,bus,1
1347,NB,dual,67
1348,NB,bike,9
1349,NB,bus,0
1350,WB,dual,130
1351,WB,bike,24
1352,WB,bus,29
1353,EB,dual,124
1354,EB,bike,31
1355,EB,bus,19
1356,SB,dual,31
1357,SB,bike,19
1358,SB,bus,17
1359,NB,dual,33
1360,NB,bike,18
