ASSETID,EMPTOT
96098,226.5151397
96099,416.5288484
96100,1015.847829
96102,140.556612
96103,295.4728503
96104,185.5990859
96105,223.8763653
96106,161.494588
96107,218.6759926
96108,221.6282873
96109,284.6717207
96110,525.6676635
96111,270.635548
96112,313.6517345
96113,1016.676519
96114,116.2659645
96115,220.8616819
96116,1047.024061
96117,371.4649121
96118,168.3503369
96119,3120.724589
96120,848.285599
96121,189.8984682
96122,1178.864614
96123,114.2606133
96125,156.7579544
96126,114.7681649
96127,107.4433118
96128,802.7343507
96129,766.2068765
96130,422.4988179
96131,436.7876459
96132,315.8479285
96133,240.595357
96134,196.8080095
96135,483.6668527
96136,253.3689015
96137,528.0400327
96138,219.0414208
96139,417.4298598
96140,196.9512999
96141,141.1070361
96142,369.2086679
96143,105.3273423
96144,183.6168773
96145,308.6603148
96146,700.6644733
96147,410.6571422
96148,1949.531649
96149,1767.42842
96151,126.0531377
96152,834.4255383
96154,944.6237191
96155,309.857257
96156,470.8923744
96157,390.5742066
96158,459.643696
96160,550.9393618
96161,1145.74189
96162,390.4321131
96163,2199.208883
96164,2473.894695
96165,483.2222496
96166,979.8025143
96167,1224.640739
96168,2451.549885
96169,572.3404472
96170,1047.396562
96171,302.4993708
96172,108.0691146
96173,99.72017082
96174,162.4261274
96175,135.1994464
96176,286.974612
96177,1028.942418
96178,997.1117704
96179,149.5541403
96181,262.7713114
96182,295.7722941
96183,824.4967148
96184,211.0240789
96185,773.3135473
96186,668.0307687
96187,545.8968408
96188,216.2023648
96189,1164.896227
96190,583.0490023
96191,628.1341268
96192,53.81518008
96193,445.5054496
96194,143.0978562
96195,605.5143881
96196,417.2027806
96197,226.1121173
96198,269.3399959
96199,208.7354345
96200,377.4310201
96201,216.8002348
96202,268.0954078
96203,376.367348
96204,344.4740286
96205,2677.794569
96206,1405.085878
96207,487.1596452
96208,1737.22075
96209,839.1690921
96210,38.43687739
96211,139.0087577
96212,318.4993396
96213,432.4372458
96214,271.3308334
96215,117.2205754
96216,372.8804125
96217,160.1581222
96218,119.9586963
96219,1071.910033
96220,211.0241515
96221,101.0762863
96222,617.4611646
96223,460.2246423
96224,179.0467713
96225,388.5004755
96226,431.7957342
96227,193.4234534
96228,355.1390989
96229,177.7743253
96230,442.0123006
96231,276.3076808
96232,439.826137
96233,2314.046577
96234,1437.904879
96235,165.0026456
96236,158.132658
96237,433.3536777
96238,182.7402433
96239,309.7302194
96240,261.4985155
96241,307.8078098
96243,182.8958316
96245,132.3664498
96246,215.3061259
96247,350.463139
96248,121.579091
96249,182.6597721
96250,351.1933655
96251,225.9873975
96252,216.8466251
96253,362.2485107
96254,267.7463975
96255,230.1498339
96256,361.4221659
96257,356.7649704
96258,128.0867835
96259,254.5442745
96260,431.2733865
96261,219.452201
96262,236.444097
96263,226.0269221
96264,292.3692013
96265,312.0233985
96266,407.8429441
96267,236.4389744
96268,384.9783655
96269,326.2589412
96270,1341.846346
96272,550.8195428
96273,438.4464972
96274,609.5401063
96275,580.2615945
96276,660.5702334
96277,569.3630971
96278,334.9785983
96279,297.2410567
96280,1810.488336
96281,87.82218551
96282,103.882429
96283,141.6508791
96284,424.5649955
96285,54.40020129
96286,543.2745961
96287,693.9800346
96288,4255.729302
96289,3530.348183
