,approach,count_id,time,type,volume
196,SB,108,2006-01-20 07:30:00,am15,68
197,SB,108,2006-01-20 17:15:00,pm15,66
198,SB,108,2006-01-20 07:15:00,am60,205
199,SB,108,2006-01-20 16:30:00,pm60,223
200,SB,109,1996-08-20 09:30:00,am15,12
201,SB,109,1996-08-20 17:30:00,pm15,37
202,SB,109,1996-08-20 07:30:00,am60,38
203,SB,109,1996-08-20 17:00:00,pm60,127
204,SB,112,1995-10-31 07:45:00,am15,72
205,SB,112,1995-10-31 15:15:00,pm15,74
206,SB,112,1995-10-31 07:30:00,am60,215
207,SB,112,1995-10-31 15:00:00,pm60,243
208,SB,113,1992-01-17 09:00:00,am15,29
209,SB,113,1992-01-17 16:00:00,pm15,45
210,SB,113,1992-01-17 07:45:00,am60,90
211,SB,113,1992-01-17 15:15:00,pm60,155
212,SB,114,8.00,am15,25
213,SB,114,2.15,pm15,29
214,SB,114,7.30,am60,84
215,SB,114,4.00,pm60,93
216,SB,115,2007-12-10 08:30:00,am15,430
217,SB,115,2007-12-10 17:15:00,pm15,590
218,SB,115,2007-12-10 08:15:00,am60,1594
219,SB,115,2007-12-10 17:00:00,pm60,2223
220,SB,116,1999-10-26 07:45:00,am15,500
221,SB,116,1999-10-26 17:45:00,pm15,604
222,SB,116,1999-10-26 07:30:00,am60,1865
223,SB,116,1999-10-26 17:00:00,pm60,2359
224,SB,119,1994-05-12 08:00:00,am15,189
225,SB,119,1994-05-12 17:30:00,pm15,319
226,SB,119,1994-05-12 07:30:00,am60,723
227,SB,119,1994-05-12 16:45:00,pm60,1216
228,SB,120,2014-06-19 08:00:00,am15,205
229,SB,120,2014-06-19 16:15:00,pm15,289
230,SB,120,2014-06-19 07:30:00,am60,644
231,SB,120,2014-06-19 16:00:00,pm60,1130
232,SB,128,2001-04-27 09:00:00,am15,12
233,SB,128,2001-04-27 15:45:00,pm15,11
234,SB,128,2001-04-27 09:00:00,am60,23
235,SB,128,2001-04-27 15:00:00,pm60,28
236,SB,129,1997-03-07 07:45:00,am15,16
237,SB,129,1997-03-07 16:15:00,pm15,13
238,SB,129,1997-03-07 07:30:00,am60,32
239,SB,129,1997-03-07 16:00:00,pm60,35
240,SB,130,2012-05-10 07:00:00,am15,0
241,SB,130,2012-05-10 15:00:00,pm15,0
242,SB,130,2012-05-10 07:00:00,am60,0
243,SB,130,2012-05-10 15:00:00,pm60,0
244,SB,131,2001-05-25 08:00:00,am15,17
245,SB,131,2001-05-25 15:30:00,pm15,27
246,SB,131,2001-05-25 07:15:00,am60,52
247,SB,131,2001-05-25 15:00:00,pm60,69
248,SB,132,2004-01-15 08:00:00,am15,19
249,SB,132,2004-01-15 16:00:00,pm15,23
250,SB,132,2004-01-15 07:30:00,am60,68
251,SB,132,2004-01-15 15:15:00,pm60,80
252,SB,133,1998-11-12 08:00:00,am15,18
253,SB,133,1998-11-12 17:00:00,pm15,18
254,SB,133,1998-11-12 07:15:00,am60,65
255,SB,133,1998-11-12 17:00:00,pm60,63
256,SB,135,2001-02-16 07:00:00,am15,0
257,SB,135,2001-02-16 15:00:00,pm15,0
258,SB,135,2001-02-16 07:00:00,am60,0
259,SB,135,2001-02-16 15:00:00,pm60,0
260,SB,136,2000-07-24 07:00:00,am15,6
261,SB,136,2000-07-24 16:30:00,pm15,10
262,SB,136,2000-07-24 07:00:00,am60,20
263,SB,136,2000-07-24 16:00:00,pm60,24
264,SB,137,1995-01-11 07:45:00,am15,8
265,SB,137,1995-01-11 15:00:00,pm15,10
266,SB,137,1995-01-11 07:00:00,am60,25
267,SB,137,1995-01-11 15:45:00,pm60,29
268,SB,138,2001-10-19 09:45:00,am15,24
269,SB,138,2001-10-19 17:45:00,pm15,43
270,SB,138,2001-10-19 09:00:00,am60,81
271,SB,138,2001-10-19 17:00:00,pm60,123
272,SB,143,2001-03-20 07:00:00,am15,0
273,SB,143,2001-03-20 14:00:00,pm15,0
274,SB,143,2001-03-20 07:00:00,am60,0
275,SB,143,2001-03-20 14:00:00,pm60,0
276,SB,144,1994-04-22 07:00:00,am15,0
277,SB,144,1994-04-22 15:00:00,pm15,0
278,SB,144,1994-04-22 07:00:00,am60,0
279,SB,144,1994-04-22 15:00:00,pm60,0
280,SB,147,1998-03-02 07:00:00,am15,6
