,Peak,Pedestrian,Spec_Veh,Volume,count_id
226,Pass,Fail,Pass,Fail,566
227,Pass,Fail,Pass,Fail,567
228,Pass,Pass,Fail,Pass,569
229,Pass,Pass,Pass,Pass,570
230,Pass,Fail,Pass,Fail,571
231,Pass,Pass,Pass,Pass,574
232,Pass,Pass,Pass,Pass,575
233,Pass,Pass,Fail,Pass,576
234,Pass,Pass,Pass,Pass,577
235,Pass,Pass,Pass,Pass,578
236,Pass,Pass,Pass,Fail,579
237,Pass,Pass,Pass,Pass,580
238,Pass,Fail,Pass,Fail,585
239,Pass,Pass,Pass,Pass,587
240,Pass,Pass,Pass,Pass,590
241,Pass,Pass,Fail,Pass,591
242,Pass,Pass,Pass,Pass,592
243,Pass,Fail,Pass,Fail,593
244,Pass,Pass,Fail,Pass,594
245,Fail,Pass,Pass,Fail,595
246,Pass,Pass,Pass,Fail,596
247,Pass,Pass,Pass,Pass,598
248,Pass,Pass,Fail,Pass,599
249,Pass,Fail,Pass,Fail,600
250,Pass,Pass,Pass,Pass,601
251,Pass,Pass,Pass,Pass,604
252,Pass,Fail,Pass,Fail,606
253,Pass,Fail,Pass,Fail,607
254,Pass,Fail,Pass,Fail,611
255,Pass,Pass,Pass,Pass,616
256,Pass,Pass,Pass,Pass,617
257,Pass,Pass,Pass,Pass,628
258,Pass,Fail,Pass,Fail,637
259,Pass,Pass,Pass,Fail,639
260,Pass,Fail,Pass,Fail,643
261,Pass,Pass,Pass,Pass,650
262,Pass,Pass,Pass,Fail,652
263,Pass,Fail,Pass,Fail,668
264,Pass,Pass,Pass,Pass,680
265,Pass,Pass,Pass,Pass,690
266,Pass,Pass,Pass,Pass,691
267,Pass,Pass,Pass,Pass,692
268,Pass,Pass,Pass,Fail,693
269,Pass,Fail,Pass,Fail,702
270,Pass,Fail,Pass,Fail,716
271,Pass,Pass,Pass,Pass,717
272,Pass,Pass,Pass,Pass,730
273,Pass,Pass,Pass,Pass,734
274,Pass,Pass,Pass,Pass,740
275,Fail,Pass,Fail,Fail,747
276,Pass,Pass,Pass,Pass,752
277,Pass,Pass,Pass,Pass,753
278,Pass,Pass,Pass,Pass,754
279,Pass,Pass,Pass,Fail,755
280,Pass,Fail,Pass,Fail,782
281,Pass,Fail,Pass,Fail,785
282,Fail,Pass,Pass,Fail,795
283,Fail,Pass,Fail,Fail,796
284,Fail,Fail,Pass,Fail,800
285,Pass,Fail,Pass,Fail,808
286,Fail,Pass,Fail,Fail,809
287,Pass,Pass,Fail,Fail,810
288,Fail,Pass,Fail,Fail,813
289,Fail,Pass,Fail,Fail,820
290,Fail,Pass,Pass,Fail,821
291,Fail,Pass,Fail,Pass,830
292,Fail,Pass,Pass,Pass,831
293,Pass,Pass,Pass,Pass,839
294,Pass,Fail,Pass,Fail,870
295,Pass,Pass,Pass,Fail,871
296,Pass,Pass,Pass,Pass,872
297,Pass,Pass,Pass,Pass,877
298,Pass,Pass,Pass,Fail,878
299,Pass,Pass,Pass,Pass,883
300,Pass,Pass,Pass,Pass,884
301,Pass,Pass,Pass,Pass,885
302,Pass,Pass,Pass,Pass,886
303,Pass,Pass,Pass,Pass,888
304,Pass,Pass,Pass,Pass,889
305,Pass,Pass,Pass,Pass,890
306,Pass,Pass,Pass,Fail,892
307,Pass,Pass,Pass,Fail,893
308,Pass,Pass,Pass,Fail,894
309,Pass,Pass,Pass,Fail,895
310,Pass,Pass,Pass,Pass,896
311,Pass,Pass,Pass,Pass,899
312,Pass,Fail,Pass,Fail,911
313,Pass,Pass,Pass,Pass,913
314,Pass,Fail,Pass,Fail,917
315,Pass,Pass,Pass,Pass,929
316,Pass,Pass,Pass,Pass,930
317,Pass,Fail,Pass,Fail,932
318,Pass,Fail,Pass,Fail,933
319,Pass,Pass,Pass,Fail,937
320,Pass,Pass,Pass,Pass,945
321,Fail,Pass,Fail,Fail,951
322,Pass,Pass,Pass,Pass,970
323,Fail,Pass,Pass,Fail,976
324,Pass,Pass,Pass,Pass,994
325,Pass,Pass,Pass,Pass,1000
326,Pass,Pass,Pass,Pass,1007
327,Fail,Pass,Pass,Pass,1010
328,Pass,Pass,Pass,Fail,1011
329,Pass,Fail,Pass,Fail,1015
330,Pass,Pass,Pass,Fail,1016
331,Pass,Pass,Pass,Fail,1017
332,Pass,Fail,Pass,Fail,1021
333,Pass,Pass,Pass,Fail,1022
334,Pass,Pass,Pass,Pass,1025
335,Pass,Pass,Pass,Fail,1038
336,Pass,Fail,Pass,Fail,1039
337,Pass,Pass,Pass,Pass,1040
338,Pass,Pass,Pass,Pass,1043
339,Pass,Pass,Pass,Pass,1044
340,Pass,Pass,Pass,Pass,1050
341,Pass,Pass,Pass,Pass,1052
342,Pass,Pass,Pass,Pass,1055
343,Fail,Pass,Pass,Pass,1056
344,Pass,Pass,Pass,Pass,1064
345,Pass,Pass,Pass,Pass,1065
346,Pass,Pass,Pass,Pass,1066
347,Pass,Pass,Pass,Pass,1072
348,Pass,Pass,Pass,Pass,1073
349,Pass,Fail,Pass,Fail,1077
350,Pass,Pass,Pass,Pass,1078
351,Pass,Pass,Pass,Pass,1079
352,Fail,Pass,Pass,Pass,1094
353,Pass,Pass,Pass,Pass,1100
354,Pass,Pass,Pass,Pass,1101
355,Pass,Pass,Pass,Pass,1103
356,Pass,Pass,Pass,Pass,1104
357,Pass,Pass,Pass,Pass,1112
358,Pass,Fail,Pass,Fail,1113
359,Pass,Fail,Pass,Fail,1120
360,Pass,Fail,Pass,Fail,1121
361,Pass,Pass,Pass,Pass,1123
362,Pass,Fail,Pass,Fail,1133
363,Pass,Pass,Pass,Pass,1134
364,Pass,Pass,Pass,Pass,1139
365,Pass,Pass,Pass,Fail,1143
366,Pass,Pass,Pass,Pass,1147
367,Pass,Pass,Pass,Pass,1148
368,Pass,Fail,Pass,Fail,1150
369,Fail,Pass,Fail,Pass,1155
370,Pass,Pass,Pass,Fail,1156
371,Pass,Pass,Pass,Pass,1158
372,Pass,Pass,Pass,Pass,1160
373,Pass,Pass,Pass,Fail,1161
374,Pass,Pass,Pass,Pass,1162
375,Pass,Pass,Pass,Pass,1163
376,Fail,Pass,Pass,Fail,1165
377,Fail,Pass,Fail,Fail,1166
378,Pass,Pass,Pass,Fail,1167
379,Fail,Fail,Pass,Fail,1172
380,Pass,Pass,Pass,Pass,1174
381,Pass,Pass,Pass,Pass,1181
382,Fail,Pass,Pass,Fail,1183
383,Pass,Pass,Pass,Pass,1184
384,Pass,Pass,Pass,Pass,1185
385,Pass,Pass,Pass,Fail,1194
386,Pass,Pass,Pass,Pass,1196
387,Pass,Pass,Pass,Pass,1198
388,Pass,Pass,Pass,Fail,1200
389,Pass,Pass,Pass,Pass,1201
390,Pass,Pass,Pass,Pass,1202
391,Pass,Pass,Pass,Pass,1203
392,Pass,Pass,Pass,Pass,1205
393,Pass,Pass,Pass,Pass,1206
394,Pass,Pass,Fail,Pass,1208
395,Pass,Pass,Pass,Pass,1209
396,Pass,Pass,Pass,Pass,1210
397,Pass,Pass,Pass,Pass,1211
398,Pass,Pass,Pass,Pass,1212
399,Pass,Pass,Pass,Pass,1213
400,Pass,Pass,Pass,Pass,1214
401,Pass,Pass,Pass,Pass,1224
402,Fail,Pass,Fail,Fail,1226
403,Pass,Fail,Pass,Fail,1227
404,Pass,Fail,Pass,Fail,1235
405,Pass,Pass,Pass,Pass,1236
406,Pass,Pass,Pass,Pass,1238
407,Pass,Pass,Pass,Pass,1243
408,Pass,Pass,Pass,Pass,1244
409,Pass,Fail,Pass,Fail,1245
