,count_id,date,dayofweek,district,hours,school_day,street_ew,street_ns,weather
5403,24212,2017-03-29,Wednesday,,7-10 & 2-5,YES,Saticoy St,Shirley Ave,SUNNY
5404,24221,2009-11-06,FRIDAY,EAST VALLEY,7-10AM 2-5PM,YES,SATICOY ST,RIVERTON AV,SUNNY
5405,24226,2015-06-11,Thursday,,7-10 & 3-6,YES,54th St,Cimarron St,SUNNY
5406,24229,2015-06-16,Tuesday,,7-10 & 3-6,YES,Riverdale Ave,Riverside Dr,SUNNY
5407,24249,2014-08-07,THURSDAY,EAST VALLEY,7-10AM 3-6PM,YES,HESBY ST.,VINELAND AV.,SUNNY
5408,24253,2009-01-13,TUESDAY,WESTERN,7-10AM 3-6PM,YES,SANTA MONICA BL,THAYER AV,SUNNY
5409,24261,2008-10-16,THURSDAY,WESTERN,7-10AM 3-6PM,YES,SAN DIEGO FWY NB OFF RAMP NEAR MONTANA AV,SEPULVEDA BL,SUNNY
5410,24274,2009-09-14,MONDAY,WESTERN,10AM-1PM 4-7PM,YES,SANTA MOINCA BL,SAN DIEGO FWY SB ON/OFF RAMPS,SUNNY
5411,24309,2009-02-23,MONDAY,SOUTHERN,7-10AM 3-6PM,YES,PACIFIC COAST HWY,SANFORD AV,SUNNY
5412,24315,2015-07-15,WEDNESDAY,,7-10 AM & 3-6 PM,YES,KITTRIDGE ST.,VALLEY CIRCLE BL.,SUNNY
5413,24319,2008-01-11,FRIDAY,EAST VALLEY,7-10AM 3-6PM,YES,ROSCOE BL,ST. CLAIR AV,SUNNY
5414,24321,2015-06-16,Tuesday,,7-10 & 3-6,YES,Califa St,Laurel Cyn Blvd,SUNNY
5415,24322,2015-05-20,WEDNESDAY,EAST VALLEY,7-10AM 3-6PM,YES,CALIFA ST.,LAUREL CYN. BL.,SUNNY
5416,24357,2014-09-24,WEDNESDAY,WESTERN,7-10AM 3-6PM,YES,PICO BL.,GRANVILLE AV.,SUNNY
5417,24363,2009-06-04,THURSDAY,SOUTHERN,7-10AM 2-5PM,YES,118TH PL,SAN PEDRO ST,SUNNY
5418,24364,2010-04-22,THURSDAY,SOUTHERN,7-10AM 2-5PM,YES,113TH ST,SAN PEDRO ST,SUNNY
5419,24365,2009-06-17,WEDNESDAY,SOUTHERN,7-10AM 2-5PM,YES,113TH ST,SAN PEDRO ST,SUNNY
5420,24366,2010-02-17,WEDNESDAY,SOUTHERN,7-10AM 2-5PM,YES,109TH ST,SAN PEDRO ST,SUNNY
5421,24368,2009-06-10,WEDNESDAY,SOUTHERN,7-10AM 2-5PM,YES,106TH ST,SAN PEDRO ST,SUNNY
5422,24369,2008-11-20,THURSDAY,CENTRAL,7-10AM 2-5PM,YES,76TH PL,SAN PEDRO ST,SUNNY
5423,24370,2008-03-14,FRIDAY,CENTRAL,7-10AM 2-5PM,YES,17 TH ST,SAN PEDRO ST,SUNNY
5424,24372,2015-11-10,Tuesday,,7-10 & 3-6,YES,8th St,10 Fwy WB on and off Ramp,SUNNY
5425,24375,2009-05-27,WEDNESDAY,WESTERN,7-10AM 2-5PM,YES,SUNSET BL,SALTAIR AV,SUNNY
5426,24379,2008-06-10,TUESDAY,,7-10AM 3-6PM,YES,RUNNYMEDE ST,VALJEAN AV,SUNNY
5427,24389,2009-02-04,WEDNESDAY,,7-10AM 2-5PM,YES,SHERMAN WAY,ROYER AV,SUNNY
5428,24397,2008-04-21,MONDAY,EAST VALLEY,7-10AM 3-6PM,YES,FOOTHILL FWY WB ON/OFF RAMP,ROXFORD ST,SUNNY
5429,24413,2009-05-18,MONDAY,HOLLYWOOD,7-10AM 2-5PM,YES,TEMPLE ST,ROSENELL TER,SUNNY
5430,24415,2009-07-13,MONDAY,HOLLYWOOD,7-10AM 3-6PM,YES,SCOUT WY,ROSEMONT AV,SUNNY
