,approach,count_id,time,type,volume
351,SB,19123,4.00,pm15,1470
352,NB,19144,5.00,pm60,2074
353,EB,19144,3.15,pm60,25
354,WB,19144,3.00,pm60,14
355,SB,19144,4.30,pm60,1742
356,NB,26308,3.45,pm60,54
357,EB,26308,4.00,pm60,515
358,WB,26308,2.30,pm60,428
359,SB,26308,2.00,pm60,0
360,NB,26409,15.30,pm60,474
361,EB,26409,16.45,pm60,597
362,WB,26409,15.00,pm60,325
363,SB,26409,16.45,pm60,12
364,NB,26410,16.45,pm60,657
365,EB,26410,17.00,pm60,277
366,WB,26410,0.00,pm60,0
367,SB,26410,17.00,pm60,279
368,NB,26411,0.00,pm60,0
369,EB,26411,15.00,pm60,443
370,WB,26411,15.30,pm60,918
371,SB,26411,17.00,pm60,140
372,NB,26412,16.45,pm60,651
373,EB,26412,15.15,pm60,1
374,WB,26412,15.00,pm60,25
375,SB,26412,17.00,pm60,140
376,NB,26413,16.45,pm60,17
377,EB,26413,16.45,pm60,694
378,WB,26413,15.15,pm60,294
379,SB,26413,16.15,pm60,1
380,NB,26414,16.45,pm60,527
381,EB,26414,16.45,pm60,541
382,WB,26414,15.15,pm60,295
383,SB,26414,15.00,pm60,128
384,NB,26463,16.00,pm60,9
385,EB,26463,17.00,pm60,332
386,WB,26463,16.30,pm60,114
387,SB,26463,15.00,pm60,5
388,NB,26458,17.00,pm60,1234
389,EB,26458,16.45,pm60,208
390,WB,26458,16.15,pm60,186
391,SB,26458,16.30,pm60,977
392,NB,26459,17.00,pm60,1344
393,EB,26459,16.30,pm60,36
394,WB,26459,15.00,pm60,91
395,SB,26459,16.45,pm60,922
396,NB,26460,16.15,pm60,8
397,EB,26460,16.00,pm60,18
398,WB,26460,15.45,pm60,4
399,SB,26460,16.00,pm60,14
400,NB,26467,16.45,pm60,98
401,EB,26467,16.45,pm60,898
402,WB,26467,17.00,pm60,1478
403,SB,26467,15.00,pm60,264
404,NB,26514,17.00,pm60,221
405,EB,26514,15.45,pm60,21
406,WB,26514,15.15,pm60,29
407,SB,26514,17.00,pm60,157
408,NB,26515,17.00,pm60,231
409,EB,26515,16.30,pm60,33
410,WB,26515,17.00,pm60,17
411,SB,26515,15.00,pm60,158
412,NB,26646,16.30,pm60,627
413,EB,26646,15.00,pm60,51
414,WB,26646,15.00,pm60,2
415,SB,26646,17.00,pm60,494
416,NB,26647,5.00,pm60,289
417,EB,26647,4.30,pm60,1397
418,WB,26647,5.00,pm60,1577
419,SB,26647,5.00,pm60,516
420,NB,26648,16.30,pm60,1398
421,EB,26648,16.45,pm60,529
422,WB,26648,17.00,pm60,1045
423,SB,26648,17.00,pm60,1549
424,NB,26652,6.00,pm15,943
425,EB,26652,5.45,pm15,16
426,WB,26652,1.15,pm15,29
427,SB,26652,6.00,pm15,400
428,NB,26653,16.30,pm60,891
429,EB,26653,16.30,pm60,1035
430,WB,26653,17.00,pm60,1015
431,SB,26653,17.00,pm60,1010
432,NB,26654,16.45,pm60,1503
433,EB,26654,17.00,pm60,1860
434,WB,26654,17.00,pm60,1879
435,SB,26654,17.00,pm60,759
436,NB,26656,17.00,pm60,436
437,EB,26656,16.45,pm60,1336
438,WB,26656,16.45,pm60,781
439,SB,26656,17.00,pm60,685
440,NB,26657,16.30,pm60,1302
441,EB,26657,16.00,pm60,247
442,WB,26657,16.30,pm60,663
443,SB,26657,16.30,pm60,1545
444,NB,26658,17.00,pm60,1214
445,EB,26658,15.00,pm60,107
446,WB,26658,15.30,pm60,32
447,SB,26658,17.00,pm60,1113
448,NB,26659,17.00,pm60,946
449,EB,26659,16.45,pm60,1495
450,WB,26659,17.00,pm60,1507
451,SB,26659,17.00,pm60,591
452,NB,26660,16.30,pm60,579
